student_id,question_id,question,model_answer,student_answer,human_score,semantic_label,dataset_split
S001,Q001,Explain the difference between compile-time polymorphism and runtime polymorphism in Java. Give examples for both.,"Compile-time Polymorphism is achieved through Method Overloading. This happens when multiple methods share the same name but have different parameters. The compiler determines which method to call based on the method signature.

Runtime Polymorphism is achieved through Method Overriding. This occurs when a subclass redefines a method that already exists in its parent class. The specific method to run is decided at runtime using dynamic binding, based on the actual object type.",Compile-time polymorphism happens in compiler and runtime polymorphism happens while running the program.,4,neutral,train
S002,Q001,Explain the difference between compile-time polymorphism and runtime polymorphism in Java. Give examples for both.,"Compile-time Polymorphism is achieved through Method Overloading. This happens when multiple methods share the same name but have different parameters. The compiler determines which method to call based on the method signature.

Runtime Polymorphism is achieved through Method Overriding. This occurs when a subclass redefines a method that already exists in its parent class. The specific method to run is decided at runtime using dynamic binding, based on the actual object type.",Polymorphism means many forms. Compile time is faster and runtime is slower.,2,contradiction,train
S003,Q001,Explain the difference between compile-time polymorphism and runtime polymorphism in Java. Give examples for both.,"Compile-time Polymorphism is achieved through Method Overloading. This happens when multiple methods share the same name but have different parameters. The compiler determines which method to call based on the method signature.

Runtime Polymorphism is achieved through Method Overriding. This occurs when a subclass redefines a method that already exists in its parent class. The specific method to run is decided at runtime using dynamic binding, based on the actual object type.",Java does not support compile time polymorphism.,1,contradiction,train
S004,Q001,Explain the difference between compile-time polymorphism and runtime polymorphism in Java. Give examples for both.,"Compile-time Polymorphism is achieved through Method Overloading. This happens when multiple methods share the same name but have different parameters. The compiler determines which method to call based on the method signature.

Runtime Polymorphism is achieved through Method Overriding. This occurs when a subclass redefines a method that already exists in its parent class. The specific method to run is decided at runtime using dynamic binding, based on the actual object type.",Compile-time polymorphism uses inheritance and runtime uses objects.,1,contradiction,train
S005,Q001,Explain the difference between compile-time polymorphism and runtime polymorphism in Java. Give examples for both.,"Compile-time Polymorphism is achieved through Method Overloading. This happens when multiple methods share the same name but have different parameters. The compiler determines which method to call based on the method signature.

Runtime Polymorphism is achieved through Method Overriding. This occurs when a subclass redefines a method that already exists in its parent class. The specific method to run is decided at runtime using dynamic binding, based on the actual object type.",Runtime polymorphism is related to runtime errors,2,contradiction,train
S006,Q001,Explain the difference between compile-time polymorphism and runtime polymorphism in Java. Give examples for both.,"Compile-time Polymorphism is achieved through Method Overloading. This happens when multiple methods share the same name but have different parameters. The compiler determines which method to call based on the method signature.

Runtime Polymorphism is achieved through Method Overriding. This occurs when a subclass redefines a method that already exists in its parent class. The specific method to run is decided at runtime using dynamic binding, based on the actual object type.",Compile-time polymorphism is done at compile time and runtime polymorphism is done during execution.,3,contradiction,train
S007,Q001,Explain the difference between compile-time polymorphism and runtime polymorphism in Java. Give examples for both.,"Compile-time Polymorphism is achieved through Method Overloading. This happens when multiple methods share the same name but have different parameters. The compiler determines which method to call based on the method signature.

Runtime Polymorphism is achieved through Method Overriding. This occurs when a subclass redefines a method that already exists in its parent class. The specific method to run is decided at runtime using dynamic binding, based on the actual object type.",Compile time polymorphism uses overloading and runtime uses overriding.,4,neutral,train
S008,Q001,Explain the difference between compile-time polymorphism and runtime polymorphism in Java. Give examples for both.,"Compile-time Polymorphism is achieved through Method Overloading. This happens when multiple methods share the same name but have different parameters. The compiler determines which method to call based on the method signature.

Runtime Polymorphism is achieved through Method Overriding. This occurs when a subclass redefines a method that already exists in its parent class. The specific method to run is decided at runtime using dynamic binding, based on the actual object type.",In compile-time polymorphism methods are decided early and runtime is decided late.,3,contradiction,train
S009,Q001,Explain the difference between compile-time polymorphism and runtime polymorphism in Java. Give examples for both.,"Compile-time Polymorphism is achieved through Method Overloading. This happens when multiple methods share the same name but have different parameters. The compiler determines which method to call based on the method signature.

Runtime Polymorphism is achieved through Method Overriding. This occurs when a subclass redefines a method that already exists in its parent class. The specific method to run is decided at runtime using dynamic binding, based on the actual object type.",Compile-time polymorphism happens before execution whereas runtime happens during execution.,4,neutral,train
S010,Q001,Explain the difference between compile-time polymorphism and runtime polymorphism in Java. Give examples for both.,"Compile-time Polymorphism is achieved through Method Overloading. This happens when multiple methods share the same name but have different parameters. The compiler determines which method to call based on the method signature.

Runtime Polymorphism is achieved through Method Overriding. This occurs when a subclass redefines a method that already exists in its parent class. The specific method to run is decided at runtime using dynamic binding, based on the actual object type.",Both are types of polymorphism used in Java,3,contradiction,train
